,comment
38,"Вот это - поздравление! Не то, что.... С новым годом, уважаемая Екатерина Михайловна! Здоровья и творческих успехов!"
39,"Даже со снежинками  Уважаемая Екатерина Михайловна, с Новым годом вас.Будте счастливы и здоровы .Мы вас очень любим ."
40,"Екатерина Михайловна, спасибо Вам!!!! Благодаря Вам легче понять то, что происходит, в благодаря Вашему чувству юмора и переносить это легче.  С Новым годом Вас и Вашу замечательную семью! Будьте с нами в 22году и всегда!!!!"
41,"Просто ""бальзам на душу"" или ""живая вода""!
Спасибо за возможность услышать такое поздравление и напутствие! Екатерина и  команда, вы лучшие!!!"
42,Всем здоровья и терпения! Все будет хорошо!!!!
43,"Спасибо!  У вас я учусь, как жить в абсурде во всей своей жизни, и вы даёте мне силы"
44,"Вот уж точно самоценная дата. Кажется, медаль за дожитие всё ещё будет актуальна"
45,"Спасибо, Екатерина Михайловна!!! В Новом году ждем новых выступлений!!! Здоровья, счастья, мира!!!"
46,"Екатерина, полностью согласна с Вашими словами. Нам всем необходимо проявлять настойчивость в каждодневных делах и развивать это качество, чтобы выжить. Без него невозможно достичь ничего по-настоящему ценного. Как гласит одна поговорка, «побеждающие никогда не пасуют, а пасующие никогда не побеждают». В изучении иностранного языка, в овладении ремеслом и даже в обретении дружбы - в том, что ценно для нас,— успех достигается только благодаря постоянным усилиям. «В девяти раз из десяти,— говорит писатель Чарлз Темплтон,— успех напрямую связан с одним - с усердным трудом». Журналист Леонард Питтс младший замечает: «Мы говорим о таланте, мы признаем удачу, но так часто мы не замечаем самые важные вещи: усердие, многочисленные неудачи и долгие часы работы до поздней ночи». Эти высказывания подтверждают давно сказанное в Библии: «...усердие- драгоценное сокровище»."
47,"Екатерина Михайловна. Надеюсь увидеть Ваше новогоднее поздравление с экранов наших телевизоров. Можно даже в ""пальте"""
48,"С Новым годом, уважаемая Екатерина Михайловна! Спасибо за Вашу деятельность, всего наилучшего!"
49,"""Не отступайте""! Отлично сказано ️"
50,"Всех НАС с 22!!! Прорвёмся, выживем, удивим ! И наступающим 23!!!"
51,Лично я хотела бы именно вас видеть на федеральных каналах!спасибо за поздравление!!!
52,"Очень надеюсь, что будет поздравление и в этом, 2022 году!"
53,"Новогоднее обращение здорового человека. Спасибо, Екатерина Михайловна."
54,НАКОНЕЦ-ТО ОБРАЩЕНИЕ МОЕЙ ПРЕЗИДЕНТКИ 
55,"Екатерина Михайловна, Вы наше сокровище! Будьте здоровы!"
56,"Новогодняя речь, которую мы заслужили!"
57,"С Новым Годом, Екатерина Михайловна!!!! Спасибо Вам за то, что Вы у нас есть!!! Счастливого 2022 года!!!!"
58,"Екатерина Михайловна, спасибо за поздравление, за Вашу позицию в жизни, за ту ценную информацию, которой Вы делитесь с подписчиками, за Вашу работу на благо Отечества!!! Здоровья, удачи Вам и Вашим близким. Надеюсь, что замечательные встречи на ютубе с Вами продолжатся, и 22 год будет не хуже 21. С наступившим Новым годом"
59,"Благодарю! Спасибо Вам, за Вашу деятельность и само существование. Будьте здоровы и счастливы!

Всем удачи и счастья в Новом Году.️️"
60,"Вот это обращение, которое действительно приятно смотреть!"
61,"С Новым годом! Екатерина Михайловна! Спасибо за такие нужные и важные слова! Очень хочется, чтобы как можно больше людей услышали их! Чтобы у нас появился шанс изменить ситуацию к лучшему, пусть и не всем это придётся по вкусу."
62,"Выложено 21 час назад, и уде 26 тыс просмотров! Вот это заслуженная популярность ! Фан-клуб Екатерины Шульман ширится !  "
63,Любимый позитивчик! Спасибо. Улыбаюсь и слушаю очень внимательно всегда. Здоровья вам и вашим близким. Все будет хорошо. Обнимаю. Бабушка Оля.
64,"Екатерина  Михайловна , огромное  спасибо ! Как  приятно  Вас  слушать  и  смотреть  на  Вас !  С  Новым  годом !!!"
65,"Екатерина М.Ш, так приятно, спасибо !"
66,Чудесное поздравление чудесные слова спасибо Вам!
67,Всех добрых людей с наступившим новым годом! Здоровья и благополучия!
68,"Спасибо большое, Екатрина Михайловна! По Перми ваше обращение вышло за 5 минут до Нового года, поэтому смотрели вас вместо сами знаете кого. Вы вдохновили и привнесли бодрость духа в момент, ""когда куранты бьют""! И вообще, для меня весь этот год прошел в вашей теплой виртуальной компании, и я вам безмерно благодарна за знания и за заразательную perseverance!"
69,Комментарий в поддержку канала уважаемой Екатерины Михайловны! Спасибо за поздравление!
70,"Новогоднее обращение здорового человека. Приятно слушать, всех с праздниками!"
71,"Спасибо Екатерине Михайловне за просветительскую работу! Для меня всегда большое удовольствие слушать вас, успехов в новом году."
72,"Ура! Спасибо, Екатерина Михайловна!"
73,Ждём следующее обращение
74,"Приятно слышать и слушать!Спасибо от чистого сердца,все просто и искренне .
С Новым Годом ,народ!!!!!"
75,"Прекрасная, Упорная, Настойчивая, Екатерина Михайловна! С новым годом!!! С новым счастьем!!! Спасибо за Ваш просветительский, подвижнический труд! Больших Вам успехов!"
76,"С Новым годом, Екатерина! Обращение президента не смотрела, а Ваше - с удовольствием посмотрела. Всегда слушаю передачи с Вашим участием."
77,"Здоровья Вам и вашей семье, спасибо, Екатерина Михайловна,всех с новым годом!!!"
78,блин у меня после обращения Екатерины Михайловны появилось новогоднее настроение! всех подписчиков Екатерины Михайловны с Наступающим и Наступившим Новым годом! Спасибо Екатерина Михайловна!
79,"С Новым годом, Екатерина Михайловна! Всех Вам благ!"
80,Когда уже начнем предвыборную программу чтоб хотя бы в 24 году ЕМ официально поздравляла нас по  ????
81,"Каждый, кто читает этот комментарий, знайте и помните, вы сильны телом и духом, все у вас будет хорошо! Верьте в себя! С новым годом!"
82,"Лучшее новогоднее поздравление ever!! Спасибо, Екатерина Михайловна! Всего Вам и Вашей семье самого-самого лучшего! Прекрасные слова, мудрые, честные и невероятно полезные! Спасибо! Лучшего пожелания быть не может."
83,Вот таким должно быть новогоднее обращение здорового человека! ️
84,"Президентское обращение уже есть, дело за малым :)"
85,"Спасибо большое, Екатерина Михайловна, за поздравления! Вас и Ваших близких с Новым годом! Пусть все загаданное сбудется и все будут здоровы, счастливы и успешны "
86,Аж муражки по коже! Достойное обращение к нации!
87,"Смотрела в 23:56, чтобы ровненько было) Не хватило в конце более продолжительных курантов, а в остальном спасибо огромное! Очень очень люблю!! Всевозможных благ вам, Екатерина Михайловна!"
88,"На выборах бы смело отдал свой голос за вас, Екатерина Михайловна. Жду когда в правительстве будут исключительно профессионалы политического дела. Вы на правильном пути! С новым годом!!"
89,"Вы молодец, умница. Вам здоровья, счастья и исполнения всех ваших заветных желаний. И вашей семье тоже. Я и моя семья, а нас больше 20 человек, солидарны с вами  во всем"
90,НАДЕЮСЬ В СКОРЕЙШЕМ БУДУЩЕМ УВИДЕМ ВАС НА ВСЕХ ТЕЛЕВИЗОРАХ СТРАНЫ
91,Мы-НЕ  ОТСТУПИМ!!!Спасибо за веру и надежду!!!
92,"Спасибо! У Екатерины даже новогоднее обращение получилось просветительское.
Мне еще от Христо Грозева очень обращение понравилось, там очень классно сформулированы желания и мечты, которые как раз и нужно озвучивать в Новый год, если вы верите в силу этой традиции."
93,"Дорогая ЕМ, всего самого доброго Вам и Вашим близким, позитива, здоровья и радости в Новом  году!!"
94,Одно из лучших поздравление в НГ! Спасибо Екатерина Михайловна!
95,"Огромное спасибо, Екатерина Михайловна! Всех нам всем благ!!!"
96,"С новым годом,  Екатерина Михайловна!"
97,"Спасибо Вам, дорогая и любимая Екатерина Михайловна за то, что Вы делаете - обучаете и даёте надежду! Настоящая Екатерина Великая!"
98,"Екатерина Михайловна , с Новым Годом Вас , любви и здоровья Вам и Вашим близким ."
99,"Спасибо огромное за то, что Вы у нас есть!"
100,"Спасибо Вам, Екатерина. Дай Аллах (Господь) Всевышний нам всем стойкости в добрых делах."
101,
102,
103,
104,
105,
106,
107,"Before you continue to YouTube
We use cookies and data to
Deliver and maintain Google services
Track outages and protect against spam, fraud and abuse
Measure audience engagement and site statistics to understand how our services are used and enhance the quality of those services
If you choose to 'Accept all', we will also use cookies and data to
Develop and improve new services
Deliver and measure the effectiveness of ads
Show personalised content, depending on your settings
Show personalised ads, depending on your settings
If you choose to 'Reject all', we will not use cookies for these additional purposes.
Non-personalised content and ads are influenced by things like the content that you’re currently viewing and your location (ad serving is based on general location). Personalised content and ads can also include things like video recommendations, a customised YouTube homepage and tailored ads based on past activity, like the videos that you watch and the things that you search for on YouTube. We also use cookies and data to tailor the experience to be age-appropriate, if relevant.
Select 'More options' to see additional information, including details about managing your privacy settings. You can also visit g.co/privacytools at any time.
Reject all
Accept all
More options
Privacy Policy • Terms of Service"
