,comment
34,"Очень давно в детстве я смотрел фильм.. где солдат игрушечный воевал с неким волкополоподобным существом игрушкой. Я давал запросы по поиску, спустя годы, но так и не получал результатов. Скорее потому, что давал их неправильно. Так все на года застопорилось . 28я секунда. Ты помог мне найти этот фильм. Солдатики  спасибо тебе Кинокос."
35,Смотрю Твои ролики уже несколько лет. Просто отдых для глаз и ушей ) Однозначно лайк 
36,"У меня от первой то бомбануло, на первых минутах. Что я не стал рисковать и смотреть вторую сочувствую тебе Кость!"
37,"не ну с фразы, беткомедиан возьмет взятку от минкульта, я вылетел, браво, как всегда на высшем уровне:)"
38,Грехообзоры от Кинокоса божественны. Спасибо за это большое!
39,Лучшее что есть в этом фильме Галь Гадот в роли Чудо женщины
40,"То самое чуство, когда обзор на фильм интереснее чем сам фильм)"
41,"""Не грозит Южному океану, попивая сок у себя на суше"" Х) я просто под стол упал!"
42,"Спасибо, Кинокос, что посмотрел эту блевотину за меня! Меня угораздило посмотреть первый шазам. Чувство было такое, что  я посмотрел мульт для дошколят или меня просто при просмотре отсношали в мозг."
43," КиноКос как вино, с каждым выпуском только лучше! Браво, хоть каждую фразу на цитату"
44,"за последний кадр однозначно уважение, только парни могут прекратить эту вакханалию.билли мясник сопли не жуёт, даже умирая, с усмешкой суперов стирает, брутален, силен, однозначно звездат, по силе ж сравнится лишь...с войском железных солдат.вообще не понимаю какие могут быть суперы во вселенной, где существует крептонец."
45,"Проржался с ""Не грози южному океану"" что подавился какао и упал со стула "
46,Ещё чуть чуть и Кинокос сам начнёт снимать фильмы. А момент с Хразом это разрыв
47,"Всегда (и до сих пор) поражался стойкости психики и терпению подобных ""обзорщиков"". Я то этот муторный шлак на перемотке посмотрел, пошёл проблевался и лёг глаза от кровотечения лечить, а ему нужно было это несколько раз и подробно просматривать, дабы найти, вырезать и потом склеить."
48,Уважаемый кинокос благодаря твоему творчеству ты спас многим не один час жизни который они могли бы потратить на подобный шлак)). Искренне благодарствуем так сказать и желаем дальнейших творческих успехов.
49,Пора уже на всю эту шазамскую шизобратию делать заказ у тёзки Билли...
50,Меня этот фильм чуть не доконал..:hand-orange-covering-eyes::hand-orange-covering-eyes:
51,"Обязательный лайк. Большое спасибо, что не только смотришь подобные произведения, но и делаешь на их основе интересный контент."
52,"Лучший ролик за последнее время. Хотя они у тебя все лучшие, но это разъеб уровня Пацанов"
53,Насчёт бэдкомедиян жёстко. Аж самому захотелось убить кого-то 
54,"Вопрос ещё в том, почему колдун, не явился во сне Билли после распепелирования, чтобы предупредить о колдуне с грехами и преподать парочку уроков о том, как пользоваться силами и что делать чтобы не было, того что творилось и творится в фильме"
55,"Это было даже круче, чем обычно) вставки из ""Пацанов"" более чем уместны."
56,"Самый главный «грех» фильма - это то, что группа подростков, которые по желанию превращается в маскулинных и женственных (присмотритесь к их старшей) хомосапиенсов, зачем-то страдает какой-то херней, спасая город от нападствий, а не…"
57,"Реально красавчик! Тот самый случай, когда не пожалел 27 минут своего времени! Лучше такие обзоры смотреть, чем сам фильм, сразу все ясно! Концовка про Галь Гадот вообще порвала на прочь, вот реально, где она шлялась  и чё приперлась когда не звали?))) Я уже обрадовался когда его похоронили и тут на тебе! Вообщем тебе огромный респект, продолжай в том же духе!"
58,"Вторая минута обзора, а уже цитатка из Мегамозга - сразу лайк"
59,Шикарный обзор. Кинокос не перестаёт удивлять)))
60,"Я уже просто смотрю обзоры, чтоб предугадать фразу ""войско железных солдат "", это просто гениально"
61,2:26-2:30
62,"22:25 я уже убежден, что в этой сцене Рири имела в виду альтернативную сторону вопроса"
63,"Огромный лайк, тебе за твой труд!"
64,"Счетчик киногрехов все меньше, а качество роликов - все выше."
65,Я давно так не угорал. Косыч лучший!
66,"Сука это божественно, поржал от души)"
67,"Меня ещё в первой части бомбило из-за смены характера гг, когда он перевоплощался. Как будто бы его подменяли..."
68,Обзор как всегда Топовый! Их фильмами можно лечить психов))
69,Чувак. Это твоя лучшая работа. Вот что называется оторвался по полной
70,"Тот момент, когда грехо-обзор интереснее самого фильма"
71,"KINOKOS - умник, миляга, сангвиник, дальтоник, безвременнопочивший"
72,16:45 ВОТ ЭТО ПОВОРОТ!!! 
73,"Даже такой стёбный обзор досмотреть было ну очень сложно, прямо через силу. Как же люди на это в кино ходили?"
74,Чудо-женщина пришла похороны увы не того самого Билли
75,Это лучший обзор от кинокоса имхо. Я давно так не ржал
76,Обзор получился огонь просто! 
77,Зарядиться хорошим настроением от обзора перед сном
78,Спасибо за обзор. Отлично поржал 
79,"Безмерная сила таланта,стареешь,но планка юмора и опыта в отличии от Твоей только выше) Респект."
80,Госпадеее
81,Костя спасибо тебе! Засыпаю постоянно на половине ролика
82,"Не грози южному океану, попивая сок у себя на суше. Это самое лучшее название этого фильма"
83,"Браво маэстро, надеюсь это начало нового поколения кино грехов!!!"
84,"Сюжет вставок кинокоса лучше, чем у второго шазама)"
85,"Если снимут фильм ""пацаны против шазама"" я б дом продал что бы посмотреть на это в кинотеатре!"
86,"Подпись ""Для друга"" - просто шикарно))"
87,2:27 столько лет искал название этого видео спасибо автор аж детство вспомнил
88,"Семья, самая важная часть франшизы. Ждём ещё и Доминика в трилогии "
89,"9:52 почему я всегда угораю со слова - ""Переигрываешь"""
90,Про Билли Бутчера прям огонь! )
91,"Ещё не смотрел фильм, но уже смотрю грехо обзор"
92,У вас шикарный музыкальный вкус! Песенки обзоров обалденны.
93,"Спасибо, ты сделал мой день!"
94,"Что может быть лучше, лёжа в больнице со сломанной ногой лежать и смотреть любимого грехо обзорщика."
95,До слёз !Просто супер а не обзор !угорал от души !
96,"""день студента"" от отрывка аж олдскулы свело"
97,"Когда обзор смотреть интереснее, чем фильм "
98,"Ждем новый сезон Пацанов. Кинокос, подтверди лайком"
99,"Силён не тот кто обладает неизмеримыми грехами, а тот кто эти неизмеримые грехи измеряет!"
100,Как всегда высший пилотаж
101,"Спасибо, за вставку с титрами «для друга»  браво, это гениально "
102,"Опоссумов не трож!!!проорал в голос)Красава,спасибо за видео"
103,"Кинокос, Низкий поклон тебе, что спас много народа от просмотра этих фекалий!!!"
104,Хахахаха обзор просто бомба! С перезагрузки системы орнул в голосину)
105,Кинокос спасибо тебе за то что смотришь это за нас
106,"Даже на грехо-обзоре мозг вскипел. Этой троице то 2, то 5, а то и более 6 тысяч лет"
107,"Обожаю тебя, продолжай в том же духе!"
108,БравоЯ поржал от души
109,"Прошу добавить в список.  Воровка кошек, когда спасала девиц не вытащила их из машины, а просто на сверхзвуковой скорости толкнула "
110,Ответить
111,"26:41 Вот даааа, на кроссовер ""Пацанов"" со всей этой жизобратией я с удовольствием глянул бы!"
112,"Кто-нибудь при просмотре данного фильма заметил, как в моменте, когда Си Цзиньпин'иха сажала яблоко в поле, то нарисованная за 13 рублей земля, осыпавшаяся с её руки, прошла сквозь текстурку поля?"
113,"Ахахаха) ""Бэдкамедиан возьмёт взятку от минкульта"" Ваще порвало наглухо))))"
114,"Ништяк, порция годного контента"
115,Шутка про бэдкомедиана это нечто гениальное
116,"Отличный обзор, делай ещё"
117,"третью часть надо было бы делать исходя из того, что Билли после воскрешения стал темной сущностью как в ""Кладбище домашних животных"" и перевести подростковую героику в хоррор с черным юмором, это был бы разрыв на стримах"
118,"дай бог здоровья за подсказки для друга,низкий поклон и всех благ))я десятилетями это искал"
119,"Надо на DC и Marvel подать в нужный суд за то,что держат своих зрителей за одноклеточных и уничтожают жанр супергероики шутки в обзоре на высоте: « дед русалки»"
120,"Эххх, Люси Лью..."
121,Лига Аманды поехала на ферму к Супермену гладить его кукурузу!  Смеялась минут 20!
122,"Спасибо в очередной раз , что мне не пришлось смотреть это говно самому. Не могу представить каких страданий стоило посмотреть это  несколько раз... Держись там..."
123,"За такой уровень актерской игры желаю Ливаю, чтобы его даже в фильмы Невского не брали"
124,Давно я так не орала
125,2:26 - моя повышенная доля уважения 
126,Спасибо за выпуски!
127,"воот, воот !! старый, добрый Кинокос!))) с нарезками и матами  вот теперь , заслуженный лайк , Кость !))  вот такое надо зрителю "
128,Гениальная концовка
129,"Костя, отлично!!!! Крутой обзор!!! Ты сам себя подставил, теперь нельзя занижать планку!"
130,"*Войско железных солдат"""
131,Ого)))  я снова удивлён! Что не обзор- то сюрприз . Перчатка заговорила
132,- Вот этот шляпный базар для чего нам сейчас 
133,"Крутой обзор, давно тебя смотрю. Красавчик"
134,"Спасибо за старый формат..,а то недавно глянул.. честно не помню,что..и комедия какая-то...а, счета ляпов нет.спасибо за проделанную работу."
135,"Я классом ходил На Фильм Гнев богов Шазам, там в конце Весь класс орнул на весь зал,а я упал с кресла."
136,"Супергерои, которых мы заслужили."
137,"Привет, всем ! "
138,"-Что вы, сволочи, тут курите?"
139,Обожаю этот визг Яйцаааа
140,Я так и знал что за кинокоса обзоры делает искусственный интеллект.
141,"Ой Кинокосыч, спасибо огромное за «Бэдкомедиан возьмет взятку от Минкульта»"
142,"Сделай пожалуйста грехо-обзор на серию фильмов Неоспоримый, очень крутые и интересные фильмы про одного заключенного который бился за свободу в тюремных боях)))!!!"
143,"Константин, готов стать спонсором, чтоб увидеть, как Вы разносите в пух и прах трилогию Гоголя, очень интересна Ваша реакция на эту вакханалию"
144,"16:30 Вот и помер дед Костян. Дата смерти: 05.05.2023. Покойся с миром, дружище."
145,"Точно! Надо "" Пацанов"" пересмотреть! ))"
146,Я не думал что ты этот ужас стороной обойдёшь дочке респект
147,"Проорал с момента со Скитлсом и единорогом, лол, реально, как же это кринжово выглядело"
148,"Недавно смотрел Пацанов . Да , им определенно нужно занести за этих существ ."
149,"Вставка Л. Джексона с ДиКаприо - это просто шедевр! Ливай, ливай со своими предъявами фанатам Снайдера)"
150,Обзор ТОП Я АПЛОДИРУЮ ️
151,"Костя, в следующий раз когда будешь уподреблять слово ""сёстры"", поставь фрагмент где Мурад говорит ""примеры сёстрам продаёшь"". Будет бомба"
152,Вставки из сериала Пацаны просто топчик)))))
153,Спасибо за обзор
154,Тот момент когда Чёрный Адам на фоне вот этого выглядит (шедевром)
155,"А почему тогда лысый из 1 части не использовал посох, чтобы превратить шазама обратно в пацана, взять в плен и силой заставить передать силу? Ещё больше абсурда во второй части, если лысый знал, что можно получить силу шазама, то почему злодейки не забрали силу у  инвалида? "
156,Аманда Уоллер и Афро-Мерлин умеют подбирать нужных людей. Им нужно открыть свое агентство по поиску кадров.
157,2:26. Спасибо что оставил название! Если честно это лучшее отечественное видео подобного рода которое я когда либо видел.
158,"У меня после твоего слова ""к примеру"" и когда ломается посох, появилась реклама "
159,Ой спасибо ! 
160,"Костя, огромная благодарность за проделанную работу! Часто смотрю твои обзоры, но этот досмотрел кое-как. Знаешь, почему? Потому что сценарий фильма просто невыносим, фильм — полнейшее говнище, рад, что не пошёл в кино на это."
161,"Ох, вставка из ""Мегамозга""!! Бомба"
162,"Фильм не смотрел, но с удовольствием посмотрел обзор, надо посмотреть 65 и Кокаинового, так сказать подготовиться!!! "
163,Си дзень Пиниха- это шедевр!
164,"25:06 купол не самоуничтожился, а исчез из за смерти матери Стейтема. Она говорила: «Купол пропадет тогда, когда я уму» или чот типа того"
165,"За КИНОНАТОРА - Отдельный Респект 16:51 - Правда И Здесь ИИ Сбой Дал - Сразу Начал Блистать Своей Оригинальностью Сразу Переписав Самую Заразительную Вставку ""Войско Железных Солдат"" Оригинального КИНОКОСЫЧА: ""Поглотил Отсылку К Тони Старку Позабыв Про Плен И Сварку, Двух Злодеев и Живой Булат, Оставил Только От Фразы Обрывок: ""Солдат"", Зато Включил Две Фразы Со Словами: Водолаз и Лимонад"", Подтверждая Тем Самым Теорию, Что Все Разумные Существа Без Контроля Вселенского Администратора Становятся Гипертрофоидами С Манией Величия и Комплексом Майкла Бэя: ""Спецэффекты Я Включил, Про Диалоги Не Забыл - Вчера Под Текилу Сочинил И Актерский Весь Состав В Баре ""Голливуд"" На Студию Парамаунт Залил - К Съемкам Фильма Приступил ""Что- То Там И Что- То Где-то Происходит"" - Вот Уже И Сборы В СINEMA Проходят, Если На Сей Раз Не Прокатит и Фильм Не Отобьет Прокат - Я Так Вижу, И Не Парит.. Главное В Процессе Фильма В Объективе Каждому Кадру Картины - Я Был Очень... Очень Горд и Рад"""
166,"Бед, возьмёт взятку от Минкульта)))  зашла шутейка. Если Женя возьмёт взятку я останусь без фаланги мизинца. Женя тоже оценит шутку)))"
167,Чудо женщина обломала всё 
168,Поржал от души лайк бро 
169,Весь канал держится на шутках про темнокожих
170,И за гостей Никиты спасибо - давно искал.
171,За трек ST отдельное спасибо ) а так поржал от души хорошо что не смотрел эту дичь
172,Достойно. Одно из лучших.
173,Да этот обзор лучше самого фильма!
174,"великолепная песня в начале, одна из моих любимых"
175,"Надеюсь, что Ганн сделает dc снова великой"
176,"Ржу в голосину с фразы ""на дно"""
177,"За вставку на 2:27 респект !!! Кто знает, тот знает "
178,Батя разрулит))) с этого момента орнул че то в голосину ))))
179,"В обличии супергероев они дают интервью, их люди запоминают (обидные прозвища придумывали). Старшая дочь никак не меняется при превращении. Как её не узнавали родители и прочие люди?"
180,"5:47 ""...И где ты так вымазался? Вали в баню - не возвращайся, пока не отмоешься!"""
181,Отсылка на Мегамозг просто шикарна)))
182,"Есть 2 категории видео вызывающие тёплые чувства ... это клипы с маленькими детьми, видео с животными.... кинокос ввёл 3 категорию.... вечеринка курских студентов))))))"
183,Перезагрузка Кинокоса шедевральна!))))
184,"Чтобы не говорил, а Рейчел огонь "
185,"На 27 минут, работа громенная. Сразу лайк."
186,Мда шазам первой части более серьезный чем детская вторая чясть шазама
187,Кинокос убил наповал давно так не смеяться
188,"В моем детстве документалки снимали с натуры: про доярок, про совхозы, про ученых.... А про Клёпу - это домыслы и фантазии))"
189,"Я понимаю тот прикол так: Билли как подросток, собственно, чувствует себя подростком и поэтому закрытый, а когда он взрослый всемогущий мужик ему срывает крышу)"
190,Дед русалки- просто в голосину проорал!!!
191,"ооо, ВойскА железных салдат (с) на месте - топово!"
192,Спасибо вам за видеоАктёру Билли наверное очень стыдно за  большую версию себя)))
193,Вообще классный обзор
194,А я очень люблю сюжет в этом фильме! Он такой... Ээ.. Умм.. Да
195,я на просмотре думал что видос с грехами от кинокоса должен длится часа 2
196,Даже освободить Черного Адама было бы более здравой идеей чем выдавать силу этому пацану.
197,"И самый главный косяк обоих фильмов что шазам должен становиться мудрым и опытным бойцом, лучше бы они сделали раздвоение личности между формой героя и обычной"
198,"Только досмотрел твое предыдущее видео, а тут сразу новое"
199,"Думал на днях глянуть его,но наверно лучше обзорчик глянуть,что бы зря время не терять учитывая "" Шедевры"" выходящие в последнее время"
200,Спасибо Костя! Этот фильм а также последний Тор и Человек муравей: Квантоманья я смотрел только тут чтобы время и нервы поберечь!
201,Не знаю  почему но мне пришел в голову такой вариант фразы
202,Можно вопрос: А что значит почерневная броня Шазама?
203,"С такими супергероями всё больше понимаешь Брюса Уэйна,  с его намерением привентивно убить супермена."
204,"Отсылка на перчатку персонажа из ""Атомного сердца""  Топ!)"
205,Долго я ждал войско железных солдат)
206,Посмотрел этот фильм минут пятнадцать. хватило поймать отходосы
207,Спасибо за предлы о 4к телеке Konka будем посмотреть))
208,Надо было вставку с мурадом поставить про сестёр
209,Пока мы тут сидим ХРАЗ уже канал кинокоса захватил
210,"Ндааа. Комедиан спекся, Циник пару раз в год рожает."
211,Ахахах прикол с включением системы Кинокоса как у Терминатора ТОП
212,"Спасибо!, хорошо, что не смотрел даже первую часть!"
213,"Сказ о том, как команда Шизоидов на Богов наехала и получила люлей "
214,"Ору с того что: BadComedian возьмёт взятку от минкульта Обожаю твои обзоры, продолжай в том же духе "
215,"Лично я этот Фильм умудрился пропустить, я слежу за всеми кинокомиксами, флэш, проекты марвел, даже синий жук, но шазам 2, я пропустил, я узнал о нем только из новостей о грандиозном провале и мне стало интересно, так ли все плохо, ибо первая часть мне так же не понравилась, я надеялся что вторая мне зайдёт, но, увы, так много  потерянного потенциала, можно было ведь сделать очень интересный, либо забавный семейный фильм, но получился парад кринжа который тяжело смотреть, единственный плюс это камео чудо женщины Галь Гадот, и наличие таких обзоров"
216,"Сделай, плиз, грехо-обзор на Кремень, Бригаду, Брат и т.д. Надо разнести их и показать зрителям, что бандитизм - это плохо."
217,KINOKOS  20:09 - побольше таких фразочек!!)))) Ваще заорал!))) XD
218,"Только за фразу ""а мы чёрные, люди одарённые"", готов купить печенег,а дальше сами знаете"
219,пожалуй лучший обзор!)
220,Люси Лью все ещё шикарна не смотря на возраст
221,"при фразе про закуску на студенческой гулянке, вставка из известной порнухи, оборжался )))"
222,Сбер разрабатывали звук в лаборатории)) сидел минуту улыбался)
223,Полностью согласен с Костяном: надо попросить Бутчера разобраться с этими школьниками
224,Качество растет прямо на глазах и вы заметили что кинокос показал свою дочь
225,Кинокос в роли Эксперта это самое лучшее 
226,Давай Шерлок Холмс (2009)
227,"Как же Билли бутчер в конце в тему, ор выше гор)"
228,Блять я сдох просто лучший обзор
229,"Боже, вот с момента когда единороги появились, я ваще при всех дома кричал «ЧЕ ЗА Е6АЛА……»"
230,Один из не многих каналов с которым согласны все)
231,Молодец хороший обзор
232,у кинокоса тоже есть ХРАЗ)
233,"влюбился по самые гениталии.всее,крылатая фраза!!!!"
234,"А ещё...никого не смущает когда на 12:25 забирают силу у героя,волшебным образом у него в руках оказывается костыль Как?Откуда?Или между булочек хранит,как Чудо женщина"
235,"В конце ролика где Де Ниро говорит ""Он страдает дебилизмом"" орнул в голос"
236,"Хороший и добрый фильм, нив лайв синема хорошая компания, всегда снимали хорошие фильмы"
237,"за ""один пальчик"" отдельный респект))) люблю свою"
238,"""Танцы изТик-Тока заменят в школе физкультуру""аааа..орнул ....пздц "
239,За билли бутчера в конце лайк )
240,в той нарезке про черных - ты забыл про черного ахиллеса )
241,"Ну вообще то они должны были быть похожие на жителей Сахары а именно жителей Атласовых гор,где Атлас держал небо.Жаль шо Билли не Хоумлендр и не свернул им шеи са секунду."
242,Бомбануло у кинокоса 
243,"Хорошо, что я ""это"" не смотрел, спасибо за грехо-обзор!"
244,"На момент 10:13 можно добавить момент с Мурадом: ""сёстрам задеваешь"""
245,"Если посохом можно отобрать силы, зачем надо было отправлять Адама в кому ?"
246,Кардиологи Москвы после этого фильма будут часто видеть у себя  кинокоса с инфактами.
247,Который раз к ужину новый выпуск
248,Весь фильм болел за Богинь-Нагибаторов.
249,Дочка у вас молодец какая
250,"Все заметили Анабель Оригинальную и из фильма, когда Билли на приёме у доктора? )))"
251,6:12 шепоты конечно убили
252,Если Дэвид уверяет то это точно безопасно
253,"пожалуй чучший момент фильма, это когда Галь Гадот в конце уходит виляющей походкой ))))"
254,KINOKOS Обзор просто СУПЕР!!!!!! :D
255,3 дня 
256,Ответить
257,"Мне уже писят, но я поржал от души, спасибо )) рад шо молодеж не такая тупая как про нее показыват в кино , ахахах"
258,"Они не хотели уничтожать человечество. Они хотели забрать яблоко и возродить свой мир, а человечество решила уничтожить ток 1 сестра предав 2-х других"
259,"Бутчер все разрулит... Одному пня, второй на кукан, а остальных спать"
260,"Дэээвид- ""это безопасно, уверяю"";   Будто его мама всю жизнь будила битой по голове"
261,Это же на сколько все стало печально что слова великого в.уайлдера кажутся уже классикой 
262,"А прикольно задуматься, что вот этот «кино» и бпс в одной вселенной как бы "
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,"Даже нарезки из этого фильма вызывают вселенскую боль, не представляю что ты пережил"
273,"Настали такие времена, когда кинокомпании соревнуются между собой, не за качественный проэкт, а кто из них снимет большую чушь и казалось бы, все, дно пробито, хуже уже быть не может, но с каждым разом, они доказывают, что это еще не предел! Становиться печально, за будущее кинопроизводства, но радует то, что пока есть KINOKOS любые такие ""фильмы"" становится шедеврами! Спасибо за хорошее настроение! "
274,"Ты там это... Держись давай! Мы понимает , что сложно и практически нревозможно оставаться в здавом уме, пересматривая это все по 10 раз, но мы верим , что у тебя хватит сил еще на много "" ШЕДЕВРОВ""))))"
275,"У меня есть вопрос. Зачем этих сестер заключали, если с помощью посоха у них можно забрать силы и они станут смертными? Или это эксклюзивное заклинание сестер?))"
276,Дочурка - милота такая)) «нашему блоггеру поплохело» - в семье главное - поддержка)))) 16:39
277,"- Дэвид, а нормально ли для психики вообще смотреть это кинцо?
- Это безопасно, уверяю"
278,"Времена, когда главной нашей проблемой была плохая концовка Игры престолов
Да, Кинокосыч, ты прав!"
279,"Да, во что превратили Шазама(капитана Марвел), а ведь ещё помню каким он был, как выделялся среди членов лиги именно чистотой идеалов(даже на фоне Супса), как кадмус его детской наивностью воспользовался и как Шазам воротил рожу аж Супермэну. Или как Шазам и Супермэн в два смычка Чёрного Адама разматывали. И детскость Шазама была не его фишкой, а его слабостью(аки криптонит). Эхх, долбоё*ы всё прое*али."
280,"Насчёт характера билли подростка и билли взрослого . Можно было бы прописать это изменение в поведении тем , что мальчик имеет компликсы и крайне недоверчив , а взрослым он имеет возможность вести себя как захочет , ведь он совсем другой человек.
Это было бы хорошим объяснением что могло улучшить персонажа , но после увиденного вы понимаете что на место сценаристов наняли уборщиков туалетов ."
281,"21:25 ага......единорогов.....правильных единорогов......собака ЧЕРНЫХ ЕДИНОРОГОВ!!! писец, они уже не знают  как BLM повестку пропихнуть....."
282,Текст из Мегамозга действительно идеально подходит к этому фильму)
283,16:59 10 из 10 за эту сцену
284,"Костян,ну это уже какой то новый уровень кино грехов,низкий тебе поклон"
285,"Очень давно в детстве я смотрел фильм.. где солдат игрушечный воевал с неким волкополоподобным существом игрушкой. Я давал запросы по поиску, спустя годы, но так и не получал результатов. Скорее потому, что давал их неправильно. Так все на года застопорилось . 28я секунда. Ты помог мне найти этот фильм. Солдатики  спасибо тебе Кинокос."
286,Смотрю Твои ролики уже несколько лет. Просто отдых для глаз и ушей ) Однозначно лайк 
287,"У меня от первой то бомбануло, на первых минутах. Что я не стал рисковать и смотреть вторую сочувствую тебе Кость!"
288,"не ну с фразы, беткомедиан возьмет взятку от минкульта, я вылетел, браво, как всегда на высшем уровне:)"
289,Грехообзоры от Кинокоса божественны. Спасибо за это большое!
290,Лучшее что есть в этом фильме Галь Гадот в роли Чудо женщины
291,"То самое чуство, когда обзор на фильм интереснее чем сам фильм)"
292,"""Не грозит Южному океану, попивая сок у себя на суше"" Х) я просто под стол упал!"
293,"Спасибо, Кинокос, что посмотрел эту блевотину за меня! Меня угораздило посмотреть первый шазам. Чувство было такое, что  я посмотрел мульт для дошколят или меня просто при просмотре отсношали в мозг.
К стати, за обзор ""Аватар: путь говна"" так же респект! 
В общем, благодарю за труды!"
294," КиноКос как вино, с каждым выпуском только лучше! Браво, хоть каждую фразу на цитату"
295,"за последний кадр однозначно уважение, только парни могут прекратить эту вакханалию.билли мясник сопли не жуёт, даже умирая, с усмешкой суперов стирает, брутален, силен, однозначно звездат, по силе ж сравнится лишь...с войском железных солдат.вообще не понимаю какие могут быть суперы во вселенной, где существует крептонец."
296,"Проржался с ""Не грози южному океану"" что подавился какао и упал со стула "
297,Ещё чуть чуть и Кинокос сам начнёт снимать фильмы. А момент с Хразом это разрыв
298,"Всегда (и до сих пор) поражался стойкости психики и терпению подобных ""обзорщиков"". Я то этот муторный шлак на перемотке посмотрел, пошёл проблевался и лёг глаза от кровотечения лечить, а ему нужно было это несколько раз и подробно просматривать, дабы найти, вырезать и потом склеить.
Спасибо тебе Кинокос и моё почтение!"
299,Уважаемый кинокос благодаря твоему творчеству ты спас многим не один час жизни который они могли бы потратить на подобный шлак)). Искренне благодарствуем так сказать и желаем дальнейших творческих успехов.
300,"Пора уже на всю эту шазамскую шизобратию делать заказ у тёзки Билли...
...А именно, у Билли Бучера.
Кадр из сериала:
- Не волнуйся, батя всё разрулит."
301,"Меня этот фильм чуть не доконал..:hand-orange-covering-eyes::hand-orange-covering-eyes:

Мои эксклюзивные обзоры на https://boosty.to/kinokos"
302,"Обязательный лайк. Большое спасибо, что не только смотришь подобные произведения, но и делаешь на их основе интересный контент."
303,"Лучший ролик за последнее время. Хотя они у тебя все лучшие, но это разъеб уровня Пацанов"
304,Насчёт бэдкомедиян жёстко. Аж самому захотелось убить кого-то 
305,"Вопрос ещё в том, почему колдун, не явился во сне Билли после распепелирования, чтобы предупредить о колдуне с грехами и преподать парочку уроков о том, как пользоваться силами и что делать чтобы не было, того что творилось и творится в фильме"
306,"Это было даже круче, чем обычно) вставки из ""Пацанов"" более чем уместны."
307,"Самый главный «грех» фильма - это то, что группа подростков, которые по желанию превращается в маскулинных и женственных (присмотритесь к их старшей) хомосапиенсов, зачем-то страдает какой-то херней, спасая город от нападствий, а не…"
308,"Реально красавчик! Тот самый случай, когда не пожалел 27 минут своего времени! Лучше такие обзоры смотреть, чем сам фильм, сразу все ясно! Концовка про Галь Гадот вообще порвала на прочь, вот реально, где она шлялась  и чё приперлась когда не звали?))) Я уже обрадовался когда его похоронили и тут на тебе! Вообщем тебе огромный респект, продолжай в том же духе!"
309,"Вторая минута обзора, а уже цитатка из Мегамозга - сразу лайк"
310,Шикарный обзор. Кинокос не перестаёт удивлять)))
311,"Я уже просто смотрю обзоры, чтоб предугадать фразу ""войско железных солдат "", это просто гениально"
312,"2:26-2:30
За ставку вначале ""день студента "" старички-паучки выражают свой ""респект"""
313,"22:25 я уже убежден, что в этой сцене Рири имела в виду альтернативную сторону вопроса"
314,"Огромный лайк, тебе за твой труд!"
315,"Счетчик киногрехов все меньше, а качество роликов - все выше.
Кинокос на верном пути в создании контента."
316,Я давно так не угорал. Косыч лучший!
317,"Сука это божественно, поржал от души)"
